-136.48 -23.2764 8.73836  1 277
-119.618 -13.651 24.8104  1 278
-118.797 -5.69801 12.0656  1 279
-133.264 -10.4512 27.1281  1 280
-131.479 -15.9272 21.5672  1 281
-143.944 -23.6571 27.4346  1 282
-140.037 -27.7304 -1.44573  1 283
-153.948 6.91057 14.1878  1 284
-136.272 -25.9916 15.3415  1 285
-143.138 -19.7141 -7.30461  1 286
-150.661 9.09051 38.4773  1 287
-166.678 2.59424 2.96938  1 288
-146.058 -30.9653 -2.80639  1 289
-149.039 -3.15303 -3.40007  1 290
-141.876 -8.02225 28.7427  1 291
-138.228 -5.5348 27.3353  1 292
-133.681 -18.3222 8.23212  1 293
-146.39 -36.7435 45.6358  1 294
-140.166 5.26409 2.64159  1 295
-157.278 9.17908 -1.34062  1 296
-161.388 -20.915 23.5737  1 297
-151.278 9.03641 5.40439  1 298
-164.026 -6.34334 5.05919  1 299
-146.406 -18.0416 23.1761  1 300
-140.431 -8.62293 10.5883  1 301
-147.71 0.667523 21.6547  1 302
-156.943 -11.251 12.9967  1 303
-136.051 -12.293 16.1973  1 304
-148.135 0.351198 10.7216  1 305
-175.035 -0.824399 3.51639  1 306
-153.25 4.67081 6.4187  1 307
-155.547 4.33449 21.7419  1 308
-150.995 -18.6395 19.8014  1 309
-164.364 10.8148 15.7907  1 310
-145.979 8.21721 10.486  1 311
-167.239 -1.75568 15.6864  1 312
-160.337 -1.34986 16.4508  1 313
-173.539 -23.7441 12.6267  1 314
-152.479 -15.1216 8.72993  1 315
-151.429 1.68244 30.1094  1 316
-161.38 -9.36622 8.49754  1 317
-155.534 -21.0752 19.5535  1 318
-142.577 -8.73232 15.2343  1 319
-171.591 -17.6825 20.9287  1 320
-146.853 -14.5612 13.5365  1 321
-178.422 11.414 24.674  1 322
-144.973 -14.7556 22.4624  1 323
-162.753 0.215985 23.656  1 324
-166.983 -15.6007 12.6707  1 325
-171.832 -17.6746 27.9847  1 326
-159.975 -16.8325 36.6163  1 327
-169.558 -10.4469 7.08668  1 328
-161.882 -11.8662 17.659  1 329
-167.724 -19.2603 0.955955  1 330
-155.591 -19.3582 4.91713  1 331
-161.298 9.76625 25.9157  1 332
-165.311 -18.2704 23.6225  1 333
-145.885 -17.1458 25.5445  1 334
-167.121 -1.62609 19.6913  1 335
-159.625 10.2419 40.1008  1 336
-174.651 -4.87097 14.5782  1 337
-159.572 -16.2716 11.725  1 338
-184.93 -4.27233 22.0873  1 339
-164.204 -22.0767 13.2104  1 340
-172.024 0.544229 4.69072  1 341
-173.016 -21.2714 16.7602  1 342
-175.871 6.57825 15.9931  1 343
-161.873 -11.0166 31.8165  1 344
-153.998 -4.49761 16.8585  1 345
-161.167 -14.8671 19.6005  1 346
-168.626 -17.191 11.2055  1 347
-175.811 -10.9956 14.0203  1 348
-183.269 -8.04614 15.437  1 349
-157.746 -3.25015 21.0308  1 350
-173.715 -15.2002 11.8817  1 351
-164.758 -10.8327 23.5884  1 352
-167.651 -18.1558 12.641  1 353
-161.793 2.4527 18.5322  1 354
-159.935 -1.49498 16.2304  1 355
-183.122 -5.2041 21.644  1 356
-185.218 -14.8794 26.9333  1 357
-174.177 -7.47039 27.7878  1 358
-179.164 -15.3829 21.4328  1 359
-174.399 -21.976 21.0116  1 360
-190.272 -4.13613 8.47225  1 361
-183.715 -9.02667 2.8568  1 362
-177.825 -3.13193 25.7998  1 363
-173.856 -19.8144 22.0126  1 364
-168.023 -14.1939 15.8236  1 365
-204.75 -7.74103 13.038  1 366
-170.004 -14.9624 21.2998  1 367
-178.913 4.56264 9.41358  1 368
-195.23 -8.0001 32.0141  1 369
-191.127 -18.5762 19.6801  1 370
-240.903 -7.33368 23.7121  1 371
-190.519 -9.44483 8.97315  1 372
-185.93 -21.16 4.38898  1 373
-183.956 -11.5395 24.7541  1 374
-186.103 -7.12063 25.4758  1 375
-196.624 1.39874 18.2632  1 376
-189.458 -16.8836 34.3379  1 377
-179.062 -12.1779 27.4574  1 378
-188.861 -13.1621 33.5503  1 379
-187.627 1.20848 22.6609  1 380
-188.05 2.32438 18.7572  1 381
-188.143 -13.2105 18.2454  1 382
-186.904 -8.39751 23.6831  1 383
-199.424 -11.2994 9.5148  1 384
